foreign_id,time,actor,activity_id
619e7379cce1689069a706e4,2021-11-24T17:16:31.299Z,619e72ad9e7b49202b87aef5,619e296d249e60c8d58ac0f6
619e78565219c46e3ddff193,2021-11-24T17:37:28.633Z,5f9808389247560035ad503f,619e70309e7b49202b879bc4
619e890edd42c4b83bdc1cae,2021-11-24T18:48:49.991Z,619e80e61eef443055ea045e,619d00c3d2a058fde1643119
619e9fa43bb4ff11266ffa6e,2021-11-24T20:23:47.955Z,619e9dd1a2bbf64f1b45d2fe,619e8aa714f7f03fbb3ac444
619f0f241e1d0fc35fc6af59,2021-11-25T04:20:54.200Z,619f0e78fbda5a59468b8073,618183cad5d7f74c5b91ad45
619eee5dca2ebefe33db6390,2021-11-25T08:01:52.526Z,6101ce682e9cf52dd0bb2547,6193a9aa11251a865309d02a
619f48849eb8e1894a5daf14,2021-11-25T08:25:41.621Z,619f42bcbb7bce9e35535d43,619dff6b876652999e1db8ef
619f64b31d3ef011a6b8af0e,2021-11-25T10:25:56.880Z,60ef38fd6ce7a10c0271865e,6197a5fff0fe8828412ee351
619f66af8f2765fd7d12ec73,2021-11-25T10:34:24.933Z,60c5a6baf1be8caa96ed8e2b,6197a5fff0fe8828412ee351
619f79af8a031f9f20bfb4f0,2021-11-25T11:55:31.514Z,615b580e2bc460a5c073dbdd,619f09b2fbda5a59468b66b6
619f7ad392c2a455b802e084,2021-11-25T11:56:56.447Z,619e6482ad118810a731d87c,619f09b2fbda5a59468b66b6
619f83edcccccd9f1c65e5c7,2021-11-25T12:39:10.365Z,617ec828e5e022079bb6dd13,619e1713c9e8e7b0e747170c
619f93f8c3d4e55bb0ee1070,2021-11-25T13:26:47.075Z,60a92bdcbde66f13ade3a5c8,61926c1711251a8653089c7e
619f93d8693bd47274f6feda,2021-11-25T13:47:05.919Z,619f916f465849f64a608f3c,60fb0f71a12de89650211a59
61a0403ffa1720e7d1d8c707,2021-11-25T14:05:41.941Z,617d6566e5e022079bb35a78,619e4e46402d14f81d386581
619f9de46082e5cbc446bcda,2021-11-25T14:29:57.100Z,613de6ea5b575f3c184e06c5,619f0ff4994a4766d4f8e238
619fa1c0c3772990e4425bb6,2021-11-25T14:46:27.078Z,60d9b375fdbf436f4661c1db,619f0ff4994a4766d4f8e238
619fabac55cec2833757afcd,2021-11-25T15:28:43.539Z,619fa8e5a80cda0d9ce1e14e,619ec75027cd550ec0602322
619fb515a7d613cd3df7261a,2021-11-25T16:08:55.960Z,619fb49107935f1cae8a46e8,619f09b2fbda5a59468b66b6
619f64b7bd1a6dbc3b3ad7c4,2021-11-25T16:25:54.540Z,619fb71d07935f1cae8a58af,60c1fb12f1be8caa96ecec63
619f64dabd1a6dbc3b3ad7c5,2021-11-25T16:26:28.873Z,619fb71d07935f1cae8a58af,5fcabffa331bc76201624e5e
619fbadafbb61a73bd88ce2b,2021-11-25T16:33:05.105Z,619f6cf108a312cf53cadf9e,619fb124630c7d15006ddf96
619fbe75b7154b7cefc9a439,2021-11-25T16:49:37.290Z,5fc85a7b3050bc2edd230fa6,611d5a6a706992093ce27e51
619fc71db9795479fa313b12,2021-11-25T17:25:55.393Z,5fbb9998053042266ea2a887,619f716608a312cf53caff2f
619fc723b9795479fa313b13,2021-11-25T17:25:56.231Z,5fbb9998053042266ea2a887,619f716608a312cf53caff2f
619fc794b9795479fa313b14,2021-11-25T17:27:49.311Z,5fbb9998053042266ea2a887,619f4699bb7bce9e355379cb
619fc844eb741add23978596,2021-11-25T17:30:46.743Z,615b62032bc460a5c07829f2,619f716608a312cf53caff2f
619fcf4123201281fae390b7,2021-11-25T18:00:42.121Z,619fcec3a255653c67ef46a7,619fb0f3630c7d15006ddea9
619fcf7f3808267ab3a54dac,2021-11-25T18:01:44.205Z,619fcec3a255653c67ef46a7,619f84114da3ffe74bbbd967
619fd05e1536fbc0dd1cba0b,2021-11-25T18:05:20.079Z,60efd40ea8e8e737365cdabc,619f6f6208a312cf53caf12d
619fd8d1b28caf0dc054790b,2021-11-25T18:41:22.705Z,619fd7198f967f4480b7257d,619fb67507935f1cae8a557e
619fd88ec2a79c08bea8c732,2021-11-25T18:42:08.305Z,61979bfff0fe8828412ecfbe,619f6f6208a312cf53caf12d
619fd93bb28caf0dc054790c,2021-11-25T18:43:08.110Z,619fd7198f967f4480b7257d,619fb124630c7d15006ddf96
619fd948b28caf0dc054790d,2021-11-25T18:43:20.948Z,619fd7198f967f4480b7257d,619fb0f3630c7d15006ddea9
619fd95eafa514d453559cb4,2021-11-25T18:43:43.694Z,619fd7198f967f4480b7257d,619e8aa714f7f03fbb3ac444
619fd9c72b6e47d219dc2b4e,2021-11-25T18:45:28.058Z,60efd40ea8e8e737365cdabc,619b436ff0fe88284132b9ff
619fdc3cf8c21f978ba02f22,2021-11-25T18:55:59.237Z,619e34185e0a49db40706dd2,619fb67507935f1cae8a557e
619fdc46e1b7550b76adfd21,2021-11-25T18:56:09.110Z,619fdb4e8f967f4480b7394a,619bff25644580b7e18cb81e
619fe150f88f78d1c906ef66,2021-11-25T19:17:40.102Z,5ee38927adec480035a97ede,60c1fb12f1be8caa96ecec63
619fe39f82dac838ea28f196,2021-11-25T19:29:21.526Z,61979bfff0fe8828412ecfbe,619b436ff0fe88284132b9ff
619fe48b210d6bc5eed564cb,2021-11-25T19:31:24.613Z,60efd40ea8e8e737365cdabc,619b436ff0fe88284132b9ff
619fe94c92b881c24934dfe9,2021-11-25T19:51:46.967Z,60c08f6af1be8caa96ecc75c,617deea0e5e022079bb497ff
619fea5a92b881c24934dfea,2021-11-25T19:56:13.189Z,60c08f6af1be8caa96ecc75c,619f66fe906e8cc70c112102
619febbe6b42e83d337be946,2021-11-25T20:02:07.007Z,617518390c9e723c3ec6b585,617deea0e5e022079bb497ff
619f9861c6f06d0558b3e1e1,2021-11-25T20:07:16.462Z,6101ce682e9cf52dd0bb2547,619f4699bb7bce9e355379cb
